     User   NNodes  Timelimit              Submit               Start                 End 
  huashli        2 1-00:00:00 2017-07-13T07:53:31 2017-07-13T17:40:07 2017-07-13T19:54:16 
  huashli        2 1-00:00:00 2017-07-13T08:14:42 2017-07-13T17:39:07 2017-07-13T20:25:57 
  huashli        2 1-00:00:00 2017-07-13T08:22:25 2017-07-13T17:39:07 2017-07-13T20:32:51 
  huashli        2 1-00:00:00 2017-07-13T08:42:42 2017-07-13T17:39:07 2017-07-13T20:13:22 
  huashli        2 1-00:00:00 2017-07-13T08:44:37 2017-07-13T17:39:07 2017-07-13T22:08:05 
  huashli        2 1-00:00:00 2017-07-13T08:48:38 2017-07-13T17:39:07 2017-07-13T19:43:12 
  huashli        2 1-00:00:00 2017-07-13T08:55:52 2017-07-13T17:39:07 2017-07-13T19:55:03 
  huashli        2 1-00:00:00 2017-07-13T08:59:04 2017-07-13T17:39:07 2017-07-13T20:08:42 
  huashli        2 1-00:00:00 2017-07-13T09:00:05 2017-07-13T17:39:07 2017-07-13T19:45:21 
  huashli        2 1-00:00:00 2017-07-13T09:00:41 2017-07-13T17:46:40 2017-07-13T19:44:11 
  huashli        2 1-00:00:00 2017-07-13T09:01:21 2017-07-13T19:43:12 2017-07-13T21:57:26 
  huashli        2 1-00:00:00 2017-07-13T09:01:55 2017-07-13T19:44:11 2017-07-13T21:42:18 
  huashli        2 1-00:00:00 2017-07-13T09:02:24 2017-07-13T19:45:21 2017-07-13T22:19:40 
  huashli        2 1-00:00:00 2017-07-13T09:03:04 2017-07-13T19:54:16 2017-07-13T22:31:13 
  huashli        2 1-00:00:00 2017-07-13T09:03:34 2017-07-13T19:55:03 2017-07-13T23:21:14 
  huashli        2 1-00:00:00 2017-07-13T09:04:01 2017-07-13T20:08:42 2017-07-13T22:05:30 
  huashli        2 1-00:00:00 2017-07-13T09:10:51 2017-07-13T20:13:22 2017-07-13T22:36:58 
  huashli        2 1-00:00:00 2017-07-13T09:14:51 2017-07-13T20:13:30 2017-07-13T21:51:06 
  huashli        2 1-00:00:00 2017-07-13T09:17:01 2017-07-13T20:25:57 2017-07-14T07:31:07 
  huashli        2 1-00:00:00 2017-07-13T09:18:36 2017-07-13T20:32:51 2017-07-13T21:49:56 
     root        8 2-00:00:00 2017-07-13T13:28:07 2017-07-13T13:28:15 2017-07-13T13:28:15 
   liuyun        8 2-00:00:00 2017-07-13T13:29:10 2017-07-13T22:05:30 2017-07-14T12:49:53 
   nicola        1 1-00:00:00 2017-07-13T14:44:33 2017-07-13T14:44:33 2017-07-13T14:59:37 
   nicola        1 1-00:00:00 2017-07-13T15:07:11 2017-07-13T15:07:17 2017-07-13T15:08:15 
   nicola        1 1-00:00:00 2017-07-13T15:11:46 2017-07-13T15:11:47 2017-07-13T15:11:47 
   nicola        1 1-00:00:00 2017-07-13T15:12:51 2017-07-13T15:13:18 2017-07-13T15:13:59 
   nicola        1 1-00:00:00 2017-07-13T15:15:13 2017-07-13T15:15:18 2017-07-13T15:15:32 
   nicola        1 1-00:00:00 2017-07-13T15:19:24 2017-07-13T15:19:31 2017-07-13T15:20:13 
   nicola        1   06:00:00 2017-07-13T15:24:21 2017-07-13T15:24:47 2017-07-13T15:30:44 
   nicola        1   01:00:00 2017-07-13T15:38:47 2017-07-13T15:38:47 2017-07-13T15:45:09 
   nicola        1   01:00:00 2017-07-13T15:45:32 2017-07-13T15:45:45 2017-07-13T15:45:45 
   nicola        1   01:00:00 2017-07-13T15:46:47 2017-07-13T15:46:47 2017-07-13T15:46:55 
   nicola        1   01:00:00 2017-07-13T15:47:37 2017-07-13T15:47:47 2017-07-13T15:48:02 
  huashli        2   10:00:00 2017-07-13T15:52:15 2017-07-13T21:02:18 2017-07-13T22:22:43 
   nicola        1   01:00:00 2017-07-13T15:54:38 2017-07-13T15:54:38 2017-07-13T15:54:51 
  huashli        2   10:00:00 2017-07-13T15:55:17 2017-07-13T21:42:19 2017-07-13T23:30:35 
   nicola        1   01:00:00 2017-07-13T15:56:01 2017-07-13T15:56:08 2017-07-13T15:56:30 
   nicola        1   06:00:00 2017-07-13T15:58:17 2017-07-13T15:58:17 2017-07-13T15:58:30 
   nicola        1   01:00:00 2017-07-13T15:59:09 2017-07-13T15:59:17 2017-07-13T15:59:39 
   nicola        1   06:00:00 2017-07-13T16:06:25 2017-07-13T16:06:26 2017-07-13T16:06:27 
   nicola        1   06:00:00 2017-07-13T16:07:04 2017-07-13T16:07:26 2017-07-13T16:11:13 
   nicola        1   06:00:00 2017-07-13T16:10:28 2017-07-13T16:11:17 2017-07-13T16:15:48 
   nicola        1   06:00:00 2017-07-13T16:11:46 2017-07-13T16:16:01 2017-07-13T16:19:46 
   nicola        1   06:00:00 2017-07-13T16:13:34 2017-07-13T16:20:01 2017-07-13T16:24:10 
   nicola        1   06:00:00 2017-07-13T16:15:52 2017-07-13T16:21:11 2017-07-13T16:21:11 
   nicola        1   06:00:00 2017-07-13T16:16:38 2017-07-13T16:21:07 2017-07-13T16:21:07 
   nicola        1   06:00:00 2017-07-13T16:17:53 2017-07-13T16:21:03 2017-07-13T16:21:03 
   nicola        1   06:00:00 2017-07-13T16:18:13 2017-07-13T16:21:01 2017-07-13T16:21:01 
   nicola        1   06:00:00 2017-07-13T16:21:58 2017-07-13T16:24:31 2017-07-13T16:32:01 
   nicola        1   06:00:00 2017-07-13T16:22:17 2017-07-13T16:32:31 2017-07-13T16:40:10 
   nicola        1   06:00:00 2017-07-13T16:22:44 2017-07-13T21:50:19 2017-07-13T21:56:10 
   nicola        1   06:00:00 2017-07-13T16:53:30 2017-07-13T17:39:07 2017-07-13T17:46:40 
   nicola        1   06:00:00 2017-07-13T16:27:34 2017-07-13T21:50:19 2017-07-13T21:50:21 
   nicola        1   06:00:00 2017-07-13T16:28:33 2017-07-13T21:50:49 2017-07-13T21:50:51 
   nicola        1   06:00:00 2017-07-13T16:28:58 2017-07-13T21:51:19 2017-07-13T21:51:21 
   nicola        1   06:00:00 2017-07-13T16:29:50 2017-07-13T21:51:19 2017-07-13T21:51:22 
   nicola        1   06:00:00 2017-07-13T16:36:21 2017-07-13T18:26:06 2017-07-13T18:26:06 
   liuyun        4 2-00:00:00 2017-07-13T16:42:20 2017-07-13T22:19:40 2017-07-13T22:54:00 
   nicola        1   06:00:00 2017-07-13T18:26:15 2017-07-13T21:51:19 2017-07-13T21:51:22 
  huashli        2 1-00:00:00 2017-07-13T20:15:18 2017-07-13T22:22:43 2017-07-13T22:30:44 
  huashli        2 1-00:00:00 2017-07-13T20:15:18 2017-07-13T22:30:44 2017-07-13T22:36:24 
  huashli        2 1-00:00:00 2017-07-13T20:15:18 2017-07-13T22:31:14 2017-07-13T22:37:29 
  huashli        2 1-00:00:00 2017-07-13T20:15:19 2017-07-13T22:36:24 2017-07-13T23:11:42 
  huashli        2 1-00:00:00 2017-07-13T20:15:19 2017-07-13T22:36:58 2017-07-13T22:56:05 
  huashli        2 1-00:00:00 2017-07-13T20:15:20 2017-07-13T22:37:29 2017-07-14T00:00:33 
  huashli        2 1-00:00:00 2017-07-13T20:15:20 2017-07-13T22:54:00 2017-07-13T23:46:20 
  huashli        2 1-00:00:00 2017-07-13T20:15:20 2017-07-13T22:54:00 2017-07-14T00:44:36 
  huashli        2 1-00:00:00 2017-07-13T22:10:44 2017-07-13T22:56:05 2017-07-13T23:04:03 
  huashli        2 1-00:00:00 2017-07-13T22:10:44 2017-07-13T23:04:03 2017-07-13T23:10:26 
  huashli        2 1-00:00:00 2017-07-13T22:10:44 2017-07-13T23:10:26 2017-07-13T23:16:13 
  huashli        2 1-00:00:00 2017-07-13T22:10:44 2017-07-13T23:11:42 2017-07-13T23:19:12 
  huashli        2 1-00:00:00 2017-07-13T22:10:44 2017-07-13T23:16:13 2017-07-13T23:23:47 
  huashli        2 1-00:00:00 2017-07-13T22:10:44 2017-07-13T23:19:12 2017-07-14T00:36:11 
  huashli        2 1-00:00:00 2017-07-13T22:10:44 2017-07-13T23:21:14 2017-07-13T23:46:03 
  huashli        2 1-00:00:00 2017-07-13T22:10:44 2017-07-13T23:23:47 2017-07-14T00:01:15 
  huashli        2 1-00:00:00 2017-07-13T22:10:44 2017-07-13T23:30:35 2017-07-14T00:26:18 
  huashli        2   10:00:00 2017-07-13T23:04:55 2017-07-13T23:46:03 2017-07-13T23:47:25 
  huashli        2 1-00:00:00 2017-07-13T23:05:50 2017-07-13T23:46:20 2017-07-13T23:54:07 
  huashli        2 1-00:00:00 2017-07-13T23:05:50 2017-07-13T23:47:25 2017-07-13T23:53:03 
  huashli        2 1-00:00:00 2017-07-13T23:05:50 2017-07-13T23:53:03 2017-07-13T23:58:45 
  huashli        2   10:00:00 2017-07-13T23:06:18 2017-07-13T23:54:07 2017-07-14T00:43:40 
  huashli        2   10:00:00 2017-07-13T23:06:19 2017-07-13T23:58:45 2017-07-14T00:44:12 
  huashli        2   10:00:00 2017-07-13T23:06:19 2017-07-14T00:00:33 2017-07-14T00:46:13 
  huashli        2   10:00:00 2017-07-13T23:06:19 2017-07-14T00:01:15 2017-07-14T00:48:07 
  huashli        2   10:00:00 2017-07-13T23:06:21 2017-07-14T00:26:18 2017-07-14T01:12:45 
   nicola        1   06:00:00 2017-07-13T23:17:59 2017-07-13T23:24:31 2017-07-13T23:24:31 
  huashli        2   10:00:00 2017-07-13T23:22:50 2017-07-14T00:36:11 2017-07-14T01:18:51 
  huashli        2   10:00:00 2017-07-13T23:22:50 2017-07-14T00:43:40 2017-07-14T01:30:17 
  huashli        2   10:00:00 2017-07-13T23:22:50 2017-07-14T00:44:12 2017-07-14T01:26:29 
  huashli        2   10:00:00 2017-07-13T23:22:50 2017-07-14T00:44:36 2017-07-14T01:32:06 
  huashli        2 1-00:00:00 2017-07-13T23:22:54 2017-07-14T00:46:13 2017-07-14T00:52:27 
   nicola        1   06:00:00 2017-07-13T23:25:03 2017-07-14T00:48:07 2017-07-14T00:49:41 
   nicola        1   06:00:00 2017-07-13T23:30:35 2017-07-14T00:48:07 2017-07-14T00:48:07 
  huashli        2   10:00:00 2017-07-13T23:30:55 2017-07-14T00:49:41 2017-07-14T01:36:00 
   nicola        1   06:00:00 2017-07-13T23:31:01 2017-07-14T00:52:27 2017-07-14T00:52:27 
   nicola        1   06:00:00 2017-07-13T23:31:40 2017-07-14T00:52:27 2017-07-14T00:52:27 
   nicola        1   06:00:00 2017-07-13T23:32:04 2017-07-13T23:32:15 2017-07-13T23:32:15 
   nicola        1   06:00:00 2017-07-13T23:32:25 2017-07-14T00:52:27 2017-07-14T00:52:27 
   nicola        1   06:00:00 2017-07-13T23:35:19 2017-07-14T00:52:27 2017-07-14T00:52:27 
   nicola        1   06:00:00 2017-07-13T23:36:14 2017-07-14T00:52:27 2017-07-14T00:52:28 
   nicola        1   06:00:00 2017-07-13T23:38:35 2017-07-14T00:52:27 2017-07-14T00:52:28 
   nicola        1   06:00:00 2017-07-13T23:39:22 2017-07-14T00:52:28 2017-07-14T00:52:28 
  huashli        2   10:00:00 2017-07-13T23:41:19 2017-07-14T00:52:28 2017-07-14T00:53:51 
  huashli        2   10:00:00 2017-07-13T23:54:51 2017-07-14T00:53:51 2017-07-14T01:43:56 
  huashli        2   10:00:00 2017-07-13T23:54:51 2017-07-14T01:12:45 2017-07-14T01:58:43 
  huashli        2   10:00:00 2017-07-13T23:54:51 2017-07-14T01:18:51 2017-07-14T02:04:24 
  huashli        2   10:00:00 2017-07-13T23:54:51 2017-07-14T01:26:29 2017-07-14T02:13:12 
  huashli        2   10:00:00 2017-07-13T23:58:20 2017-07-14T01:30:17 2017-07-14T01:36:44 
  huashli        2   10:00:00 2017-07-14T07:28:22 2017-07-14T07:28:23 2017-07-14T07:34:00 
  huashli        2   10:00:00 2017-07-14T07:28:46 2017-07-14T07:28:47 2017-07-14T07:33:00 
  huashli        2   10:00:00 2017-07-14T07:29:51 2017-07-14T07:29:51 2017-07-14T08:15:18 
  huashli        2   10:00:00 2017-07-14T07:29:51 2017-07-14T07:29:51 2017-07-14T08:14:21 
  huashli        2   10:00:00 2017-07-14T07:29:51 2017-07-14T07:29:54 2017-07-14T08:16:01 
  huashli        2   10:00:00 2017-07-14T07:29:51 2017-07-14T07:29:54 2017-07-14T08:15:34 
  huashli        2   10:00:00 2017-07-14T07:29:52 2017-07-14T07:29:54 2017-07-14T08:18:03 
  huashli        2   10:00:00 2017-07-14T07:29:52 2017-07-14T07:31:09 2017-07-14T08:20:07 
  huashli        2   10:00:00 2017-07-14T07:29:52 2017-07-14T07:33:00 2017-07-14T08:19:32 
  huashli        2 1-00:00:00 2017-07-14T07:33:11 2017-07-14T07:34:00 2017-07-14T09:04:49 
  huashli        2 2-00:00:00 2017-07-14T07:34:12 2017-07-14T08:14:21 2017-07-14T09:02:56 
  huashli        2   10:00:00 2017-07-14T07:34:40 2017-07-14T08:15:18 2017-07-14T08:21:06 
  huashli        2   10:00:00 2017-07-14T08:29:29 2017-07-14T08:29:29 2017-07-14T08:33:25 
  huashli        2   10:00:00 2017-07-14T09:04:17 2017-07-14T09:04:17 2017-07-14T09:47:25 
   nicola        1   06:00:00 2017-07-14T09:06:57 2017-07-14T09:06:58 2017-07-14T09:06:58 
   nicola        1   06:00:00 2017-07-14T09:07:15 2017-07-14T09:07:15 2017-07-14T09:07:15 
   nicola        1   06:00:00 2017-07-14T09:07:27 2017-07-14T09:07:28 2017-07-14T09:07:28 
   nicola        1   06:00:00 2017-07-14T09:09:21 2017-07-14T09:09:21 2017-07-14T09:09:21 
   nicola        1   06:00:00 2017-07-14T09:10:06 2017-07-14T09:10:06 2017-07-14T09:51:59 
   nicola        1   06:00:00 2017-07-14T09:10:30 2017-07-14T09:10:31 2017-07-14T09:52:00 
   nicola        1   06:00:00 2017-07-14T09:10:50 2017-07-14T09:10:50 2017-07-14T09:52:15 
   nicola        1   06:00:00 2017-07-14T09:11:34 2017-07-14T09:11:34 2017-07-14T09:53:11 
   nicola        1   06:00:00 2017-07-14T09:12:01 2017-07-14T09:12:02 2017-07-14T09:26:47 
  huashli        2   10:00:00 2017-07-14T09:12:18 2017-07-14T09:12:19 2017-07-14T14:48:42 
   nicola        1   06:00:00 2017-07-14T09:12:36 2017-07-14T09:12:37 2017-07-14T09:27:20 
   nicola        1   06:00:00 2017-07-14T09:13:13 2017-07-14T09:13:13 2017-07-14T09:27:46 
   nicola        1   06:00:00 2017-07-14T09:13:40 2017-07-14T09:13:40 2017-07-14T09:28:23 
   nicola        1   06:00:00 2017-07-14T09:16:27 2017-07-14T09:16:27 2017-07-14T09:43:18 
   nicola        1   06:00:00 2017-07-14T09:18:12 2017-07-14T09:18:12 2017-07-14T09:35:30 
   nicola        1   06:00:00 2017-07-14T09:39:47 2017-07-14T09:39:47 2017-07-14T10:30:37 
   nicola        1   06:00:00 2017-07-14T09:41:26 2017-07-14T09:41:27 2017-07-14T09:56:32 
   nicola        1   06:00:00 2017-07-14T09:50:53 2017-07-14T09:50:53 2017-07-14T10:12:22 
  huashli        2   10:00:00 2017-07-14T09:55:21 2017-07-14T09:55:21 2017-07-14T09:55:23 
  huashli        2   10:00:00 2017-07-14T09:56:08 2017-07-14T09:56:08 2017-07-14T09:57:38 
  huashli        2   10:00:00 2017-07-14T09:57:58 2017-07-14T09:57:59 2017-07-14T11:56:42 
  huashli        2   10:00:00 2017-07-14T10:01:04 2017-07-14T10:01:04 2017-07-14T12:03:10 
  huashli        2   10:00:00 2017-07-14T10:02:29 2017-07-14T10:02:29 2017-07-14T12:27:18 
   nicola        1   06:00:00 2017-07-14T11:53:35 2017-07-14T11:53:35 2017-07-14T11:59:33 
   nicola        1   06:00:00 2017-07-14T11:54:38 2017-07-14T11:54:39 2017-07-14T12:00:38 
   nicola        1   06:00:00 2017-07-14T11:55:21 2017-07-14T11:55:21 2017-07-14T12:01:15 
   nicola        1   06:00:00 2017-07-14T11:56:10 2017-07-14T11:56:11 2017-07-14T12:02:07 
   nicola        1   06:00:00 2017-07-14T11:57:47 2017-07-14T11:57:47 2017-07-14T12:02:50 
   nicola        1   06:00:00 2017-07-14T11:58:36 2017-07-14T11:58:36 2017-07-14T12:03:59 
   nicola        1   06:00:00 2017-07-14T11:59:34 2017-07-14T11:59:35 2017-07-14T12:04:42 
   nicola        1   06:00:00 2017-07-14T12:00:23 2017-07-14T12:00:24 2017-07-14T12:05:31 
   nicola        1   06:00:00 2017-07-14T12:01:33 2017-07-14T12:01:34 2017-07-14T12:05:09 
   nicola        1   06:00:00 2017-07-14T12:02:25 2017-07-14T12:02:26 2017-07-14T12:06:03 
   nicola        1   06:00:00 2017-07-14T12:03:16 2017-07-14T12:03:16 2017-07-14T12:06:51 
   nicola        1   06:00:00 2017-07-14T12:04:09 2017-07-14T12:04:09 2017-07-14T12:07:47 
   nicola        1   06:00:00 2017-07-14T12:05:56 2017-07-14T12:05:56 2017-07-14T12:15:13 
   nicola        1   06:00:00 2017-07-14T12:07:01 2017-07-14T12:07:01 2017-07-14T12:16:08 
   nicola        1   06:00:00 2017-07-14T12:08:24 2017-07-14T12:08:24 2017-07-14T12:16:34 
   nicola        1   06:00:00 2017-07-14T12:09:25 2017-07-14T12:09:25 2017-07-14T12:17:01 
   nicola        1   06:00:00 2017-07-14T12:11:08 2017-07-14T12:11:09 2017-07-14T13:10:05 
   nicola        1   06:00:00 2017-07-14T12:13:28 2017-07-14T12:13:29 2017-07-14T13:12:40 
   nicola        1   06:00:00 2017-07-14T12:14:54 2017-07-14T12:14:55 2017-07-14T13:14:10 
   nicola        1   06:00:00 2017-07-14T12:16:04 2017-07-14T12:16:04 2017-07-14T12:25:39 
   nicola        1   06:00:00 2017-07-14T12:16:19 2017-07-14T12:16:19 2017-07-14T12:25:55 
   nicola        1   06:00:00 2017-07-14T12:16:34 2017-07-14T12:16:34 2017-07-14T12:26:12 
   nicola        1   06:00:00 2017-07-14T12:17:00 2017-07-14T12:17:01 2017-07-14T12:26:47 
   nicola        1   06:00:00 2017-07-14T12:17:37 2017-07-14T12:17:38 2017-07-14T12:21:23 
   nicola        1   06:00:00 2017-07-14T12:17:43 2017-07-14T12:17:44 2017-07-14T12:21:33 
   nicola        1   06:00:00 2017-07-14T12:17:54 2017-07-14T12:17:55 2017-07-14T12:21:43 
   nicola        1   06:00:00 2017-07-14T12:17:59 2017-07-14T12:18:00 2017-07-14T12:21:49 
   nicola        1   06:00:00 2017-07-14T12:18:12 2017-07-14T12:18:13 2017-07-14T12:18:40 
   nicola        1   06:00:00 2017-07-14T12:18:18 2017-07-14T12:18:40 2017-07-14T12:23:57 
   nicola        1   06:00:00 2017-07-14T12:18:23 2017-07-14T12:21:23 2017-07-14T12:26:38 
   nicola        1   06:00:00 2017-07-14T12:18:28 2017-07-14T12:21:33 2017-07-14T12:26:54 
   nicola        1   06:00:00 2017-07-14T12:18:39 2017-07-14T12:21:43 2017-07-14T12:26:55 
   nicola        1   06:00:00 2017-07-14T12:19:02 2017-07-14T12:21:49 2017-07-14T12:27:27 
   nicola        1   06:00:00 2017-07-14T12:20:33 2017-07-14T12:23:57 2017-07-14T12:30:12 
   nicola        1   06:00:00 2017-07-14T12:20:41 2017-07-14T12:25:39 2017-07-14T12:31:43 
   nicola        1   06:00:00 2017-07-14T12:20:45 2017-07-14T12:25:55 2017-07-14T12:32:13 
   nicola        1   06:00:00 2017-07-14T12:20:53 2017-07-14T12:26:12 2017-07-14T12:32:24 
   nicola        2   06:00:00 2017-07-14T12:22:29 2017-07-14T12:26:47 2017-07-14T12:26:48 
   liuyun       16 2-00:00:00 2017-07-14T12:45:23 2017-07-14T12:51:35 2017-07-14T14:54:16 
   liuyun        4 1-00:00:00 2017-07-14T12:47:37 2017-07-14T12:53:35 2017-07-14T14:54:16 
   liuyun        8 2-00:00:00 2017-07-14T12:50:03 2017-07-14T13:14:10 2017-07-14T14:54:16 
   liuyun       12 2-00:00:00 2017-07-14T12:52:48 2017-07-14T14:54:16 2017-07-14T14:54:16 
   liuyun       12 2-00:00:00 2017-07-14T12:55:41 2017-07-14T14:54:16 2017-07-14T14:54:16 
   nicola        2   12:00:00 2017-07-14T13:09:23 2017-07-14T14:49:08 2017-07-14T14:55:43 
   liuyun        2   01:00:00 2017-07-14T13:13:45 2017-07-14T13:14:07 2017-07-14T13:14:08 
   liuyun        2   01:00:00 2017-07-14T13:48:38 2017-07-14T14:54:20 2017-07-14T14:54:23 
   liuyun        8 2-00:00:00 2017-07-14T13:50:44 2017-07-14T14:54:24 2017-07-14T14:56:09 
   liuyun        2   01:00:00 2017-07-14T15:02:37 2017-07-14T15:02:38 2017-07-14T15:02:45 
   liuyun        8   12:00:00 2017-07-14T15:08:39 2017-07-14T15:08:40 2017-07-14T15:08:40 
   liuyun        8   12:00:00 2017-07-14T15:09:19 2017-07-14T15:09:19 2017-07-14T15:09:19 
   liuyun        8   12:00:00 2017-07-14T15:09:22 2017-07-14T15:09:23 2017-07-14T15:09:23 
   liuyun        8   12:00:00 2017-07-14T15:10:49 2017-07-14T15:10:49 2017-07-14T15:10:50 
   liuyun        8   12:00:00 2017-07-14T15:17:52 2017-07-14T15:17:52 2017-07-14T15:24:13 
   liuyun       16   12:00:00 2017-07-14T15:25:18 2017-07-14T15:25:18 2017-07-14T15:31:49 
   liuyun        2   02:00:00 2017-07-14T15:28:29 2017-07-14T15:28:30 2017-07-14T16:52:01 
   liuyun       24   12:00:00 2017-07-14T15:34:44 2017-07-14T15:34:44 2017-07-14T15:47:19 
  huashli        2 1-00:00:00 2017-07-14T15:47:58 2017-07-14T15:47:59 2017-07-14T15:48:02 
  huashli        2 1-00:00:00 2017-07-14T15:53:52 2017-07-14T15:53:53 2017-07-14T15:53:55 
  huashli        2 1-00:00:00 2017-07-14T15:54:22 2017-07-14T15:54:23 2017-07-14T19:17:28 
  huashli        2 1-00:00:00 2017-07-14T15:54:42 2017-07-14T15:54:43 2017-07-14T18:46:56 
  huashli        2   10:00:00 2017-07-14T15:58:52 2017-07-14T15:58:52 2017-07-14T16:15:35 
  huashli        2   10:00:00 2017-07-14T15:59:28 2017-07-14T15:59:28 2017-07-14T16:15:33 
  huashli        2   10:00:00 2017-07-14T16:00:04 2017-07-14T16:00:05 2017-07-14T16:16:56 
   liuyun        2   02:00:00 2017-07-14T16:04:29 2017-07-14T16:04:29 2017-07-14T16:04:35 
   liuyun        2   02:00:00 2017-07-14T16:05:39 2017-07-14T16:05:41 2017-07-14T16:05:46 
   liuyun       16 2-00:00:00 2017-07-14T16:25:52 2017-07-14T16:25:52 2017-07-14T21:06:36 
   liuyun       12 2-00:00:00 2017-07-14T16:26:41 2017-07-14T20:34:08 2017-07-16T20:34:19 
   liuyun       12 2-00:00:00 2017-07-14T16:27:15 2017-07-14T21:06:57 2017-07-16T21:07:19 
   liuyun       12 2-00:00:00 2017-07-14T16:45:19 2017-07-15T20:49:40 2017-07-15T20:49:40 
   liuyun        8 2-00:00:00 2017-07-14T16:45:42 2017-07-16T20:34:27 2017-07-17T14:53:13 
   liuyun        4 2-00:00:00 2017-07-14T16:52:17 2017-07-14T21:07:06 2017-07-14T21:07:06 
     txie        2 2-00:00:00 2017-07-14T16:55:05 2017-07-14T17:28:10 2017-07-14T17:28:10 
     txie        4 2-00:00:00 2017-07-14T17:00:11 2017-07-14T17:00:25 2017-07-14T17:00:25 
   nicola        1   12:00:00 2017-07-14T17:00:29 2017-07-14T17:00:42 2017-07-14T17:00:48 
     txie        2 2-00:00:00 2017-07-14T17:00:48 2017-07-14T17:28:15 2017-07-14T17:28:15 
   nicola        2   12:00:00 2017-07-14T17:01:48 2017-07-14T17:02:12 2017-07-14T17:02:13 
   nicola        1   12:00:00 2017-07-14T17:17:43 2017-07-14T17:18:10 2017-07-14T17:24:33 
   nicola        2   12:00:00 2017-07-14T17:18:20 2017-07-14T17:18:40 2017-07-14T17:25:12 
   liuyun        2   02:00:00 2017-07-14T17:19:34 2017-07-14T17:19:40 2017-07-14T18:42:02 
     txie        2 2-00:00:00 2017-07-14T17:22:36 2017-07-14T17:28:20 2017-07-14T17:28:20 
     txie        2 1-00:00:00 2017-07-14T17:31:49 2017-07-14T20:56:10 2017-07-14T20:56:12 
  huashli        2 1-00:00:00 2017-07-14T17:40:43 2017-07-14T17:41:15 2017-07-14T17:41:15 
  huashli        2   10:00:00 2017-07-14T17:41:00 2017-07-14T17:41:22 2017-07-14T20:34:08 
  huashli        2   10:00:00 2017-07-14T17:43:23 2017-07-14T17:43:24 2017-07-14T20:55:44 
  huashli        2   05:00:00 2017-07-14T19:03:34 2017-07-14T19:03:39 2017-07-14T19:19:48 
  huashli        2   05:00:00 2017-07-14T19:49:31 2017-07-14T19:49:32 2017-07-14T20:04:27 
  huashli        2   05:00:00 2017-07-14T19:50:04 2017-07-14T19:50:32 2017-07-14T20:06:26 
  huashli        4   10:00:00 2017-07-14T20:34:21 2017-07-14T21:07:36 2017-07-14T22:45:19 
  huashli        2   10:00:00 2017-07-14T20:35:17 2017-07-14T20:56:40 2017-07-14T21:14:55 
   liuyun        2   02:00:00 2017-07-14T20:46:10 2017-07-14T21:15:10 2017-07-14T21:39:43 
  huashli        2   10:00:00 2017-07-14T22:40:30 2017-07-14T22:40:39 2017-07-14T22:57:26 
  huashli        2   10:00:00 2017-07-14T22:40:54 2017-07-14T22:45:49 2017-07-14T23:02:31 
  huashli        4   10:00:00 2017-07-14T22:46:50 2017-07-14T22:57:39 2017-07-14T22:59:25 
